cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
3130,83,,84,83,3,8,19125.1304672256,5118.521,66359,1,-121.976450151383,43.2881711517423
3131,83,,84,83,3,8,19115.1304669056,5118.521,66362,1,-121.976326944319,43.2881727703768
3132,83,,84,83,3,8,19105.1304665856,5117.56,66372,1,-121.976203737249,43.2881743888761
3133,83,,84,83,3,8,19066.8461941131,5115.951,66478,1,-121.975834115998,43.2881792435639
3134,84,,91,84,3,7,18588.1456019437,5088.642,76279,1,-121.971029034293,43.2882422438886
3135,84,,91,84,3,7,18578.1456016237,5087.607,76286,1,-121.970905826937,43.2882438565802
3136,84,,91,84,3,7,18511.5770569986,5084.66,76310,1,-121.970289790059,43.2882519180127
3137,84,,91,84,3,7,18473.2927845261,5081.742,76439,1,-121.969920167852,43.2882567532514
3138,84,,91,84,3,7,18463.2927842061,5081.742,76442,1,-121.969796960437,43.2882583647275
3139,84,,91,84,3,7,18453.2927838861,5081.742,76445,1,-121.969673753015,43.2882599760685
3140,84,,91,84,3,7,18443.2927835661,5081.742,76446,1,-121.969550545586,43.2882615872745
3141,84,,91,84,3,7,18433.2927832461,5081.267,76459,1,-121.969427338151,43.2882631983454
3142,84,,91,84,3,7,18423.2927829261,5080.324,76466,1,-121.969304130709,43.2882648092813
3143,92,,94,92,3,5,13813.0278488109,5000.348,97855,1,-121.932588020611,43.2887388509034
3144,94,,96,94,4,4,12550.3575353578,4980.738,286189,1,-121.922731248582,43.2888640682024
3145,96,,97,96,4,3,12194.0833539774,4979.643,291478,1,-121.920390259187,43.2888936802801
3146,97,,99,97,4,2,10988.6922629709,4973.576,326728,1,-121.911149489059,43.2890100939457
3147,27,,66,27,1,14,22214.6132478079,5970.577,638,,-121.998132242154,43.287794164338
3148,29,,81,29,1,11,21962.4812053837,5788.401,2113,,-121.994928891763,43.2878368229176
3149,83,,84,83,3,8,19275.841150167,5130.27,64414,,-121.978049624367,43.2880600927901
3150,83,,84,83,3,8,19217.5568770545,5127.113,65815,,-121.977433590338,43.2880681933786
3151,83,,84,83,3,8,19207.5568767345,5123.102,65848,,-121.977310383512,43.2880698130911
3152,83,,84,83,3,8,19197.5568764145,5122.756,65851,,-121.97718717668,43.2880714326685
3153,83,,84,83,3,8,19187.5568760945,5122.091,65857,,-121.977063969841,43.2880730521109
3154,83,,84,83,3,8,19139.2726033019,5119.086,66349,1,-121.976571142418,43.2880795285298
3155,83,,84,83,3,8,19052.7040580368,5113.507,66483,1,-121.975708694172,43.288090857063
3156,84,,84,83,3,7,19042.7040577168,5112.573,74193,1,-121.975585487253,43.2880924748846
3157,84,,91,84,3,7,19032.7040573968,5112.292,74194,1,-121.975462280328,43.2880940925712
3158,84,,91,84,3,7,19022.7040570768,5110.195,74238,1,-121.975339073396,43.2880957101227
3159,84,,91,84,3,7,18602.28773802,5088.956,76273,1,-121.971150033753,43.2881506265114
